Title,Edition,Publisher,Publication Place,Publication Country,"Full Text
(combined)
First","Full Text
(combined)
Last","Full Text
(combined)
Gaps","Scholarly / Peer-
Reviewed","Full Text
First","Full Text
Last","Full Text
Gaps","Full
Text - PDF
First","Full
Text - PDF
Last","Full
Text - PDF
Gaps",Embargo Days,"Cit/Abs
(combined)
First","Cit/Abs
(combined)
Last","Cit/Abs
(combined)
Gaps","Other
Formats First","Other
Formats Last","Other
Formats Gaps","Peer-
Reviewed",Pub Type,Pub Language,Notes and Changes
Oxford Review,,Postmedia Network Inc.,Woodstock,Canada,28-May-2011,Current,,N,28-May-2011,Current,,,,,1,28-May-2011,Current,,,,,N,Newspapers,English,
The Oyen Echo,,Alberta Weekly Newspapers Association,Oyen,Canada,18-Jun-2013,28-Jun-2016,,N,18-Jun-2013,28-Jun-2016,,,,,,18-Jun-2013,28-Jun-2016,,,,,N,Newspapers,English,
Packet and Times,,Postmedia Network Inc.,"Orillia, Ont.",Canada,29-Jan-2000,31-May-2006,,N,29-Jan-2000,31-May-2006,,,,,,29-Jan-2000,31-May-2006,,,,,N,Newspapers,English,
The Paris Star (Online),,Postmedia Network Inc.,Paris,Canada,14-May-2015,Current,11-Apr-2021--15-Mar-2022,N,14-May-2015,Current,11-Apr-2021--15-Mar-2022,,,,1,14-May-2015,Current,11-Apr-2021--15-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Paris Star,,Postmedia Network Inc.,Paris,Canada,23-Apr-2015,07-May-2020,,N,23-Apr-2015,07-May-2020,,,,,,23-Apr-2015,07-May-2020,,,,,N,Newspapers,English,
The Parkdale Villager,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Toronto, Ont.",Canada,27-May-2010,11-Jul-2023,,N,27-May-2010,11-Jul-2023,,,,,,27-May-2010,11-Jul-2023,,,,,N,Newspapers,English,
Parksville - Qualicum News,,Black Press Group Ltd.,"Parksville, B.C.",Canada,31-Dec-1969,04-Apr-2022,01-Jan-1970--31-Dec-2003,N,31-Dec-1969,04-Apr-2022,01-Jan-1970--31-Dec-2003,,,,,31-Dec-1969,04-Apr-2022,01-Jan-1970--31-Dec-2003,,,,N,Newspapers,English,
The Parksville Qualicum Beach News (Online),,Black Press Group Ltd.,Parksville,Canada,19-Nov-2022,Current,,N,19-Nov-2022,Current,,,,,,19-Nov-2022,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Parry Sound North Star,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Oakville,Canada,21-Oct-2023,Current,,N,21-Oct-2023,Current,,,,,,08-Dec-2016,Current,,,,,N,Newspapers,English,
Peace Arch News (Online),,Black Press Group Ltd.,White Rock,Canada,08-Jan-2023,Current,,N,08-Jan-2023,Current,,,,,,08-Jan-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Peace Arch News,,Black Press Group Ltd.,"White Rock, B.C.",Canada,03-Aug-2004,04-Apr-2022,,N,03-Aug-2004,04-Apr-2022,,,,,,03-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
The Peace Country Sun (Online),,Postmedia Network Inc.,Grand Prairie,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--09-Feb-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--09-Feb-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--09-Feb-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Peace Country Sun,,Postmedia Network Inc.,Grand Prairie,Canada,20-May-2011,24-Feb-2023,,N,20-May-2011,24-Feb-2023,,,,,,20-May-2011,24-Feb-2023,,,,,N,Newspapers,English,
Pembroke News,,Postmedia Network Inc.,Pembroke,Canada,31-May-2008,Current,01-Jan-2009--31-Dec-2014,N,31-May-2008,Current,01-Jan-2009--31-Dec-2014,,,,1,31-May-2008,Current,01-Jan-2009--31-Dec-2014,,,,N,Newspapers,English,
Pembroke Observer,,Postmedia Network Inc.,"Pembroke, Ont.",Canada,06-Apr-2000,09-Jul-2019,,N,06-Apr-2000,09-Jul-2019,,,,,,06-Apr-2000,09-Jul-2019,,,,,N,Newspapers,English,
Pembroke Observer (Online),,Postmedia Network Inc.,Pembroke,Canada,15-May-2015,Current,17-Apr-2021--27-Mar-2022,N,15-May-2015,Current,17-Apr-2021--27-Mar-2022,,,,1,15-May-2015,Current,17-Apr-2021--27-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
Peninsula News Review,,Black Press Group Ltd.,"Sidney, B.C.",Canada,04-Aug-2004,04-Apr-2022,,N,04-Aug-2004,04-Apr-2022,,,,,,04-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
Peninsula News Review (Online),,Black Press Group Ltd.,Sidney,Canada,22-Feb-2021,Current,01-Jan-2022--31-Dec-2022,N,22-Feb-2021,Current,01-Jan-2022--31-Dec-2022,,,,,22-Feb-2021,Current,01-Jan-2022--31-Dec-2022,,,,N,"Blogs, Podcasts, & Websites",English,
Penticton Western News,,Black Press Group Ltd.,"Penticton, B.C.",Canada,03-Aug-2004,04-Apr-2022,,N,03-Aug-2004,04-Apr-2022,,,,,,03-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
Penticton Western News (Online),,Black Press Group Ltd.,Penticton,Canada,18-Feb-2023,Current,,N,18-Feb-2023,Current,,,,,,18-Feb-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Perth Courier,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Perth, Ont.",Canada,03-Nov-2011,Current,,N,03-Nov-2011,Current,,,,,,03-Nov-2011,Current,,,,,N,Newspapers,English,
Perth EMC,,Postmedia Network Inc.,"Perth, Ont.",Canada,02-Apr-2009,08-Feb-2018,,N,02-Apr-2009,08-Feb-2018,,,,,,02-Apr-2009,08-Feb-2018,,,,,N,Newspapers,English,
Peterborough Examiner,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Peterborough, Ont.",Canada,27-Mar-2000,Current,01-Jan-2007--31-Dec-2017,N,27-Mar-2000,Current,01-Jan-2007--31-Dec-2017,,,,,27-Mar-2000,Current,01-Jan-2007--31-Dec-2017,,,,N,Newspapers,English,
Peterborough This Week,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Peterborough, Ont.",Canada,21-Mar-2003,Current,,N,21-Mar-2003,Current,,,,,,21-Mar-2003,Current,,,,,N,Newspapers,English,
Petrolia Topic,,Postmedia Network Inc.,Petrolia,Canada,29-Apr-2015,04-Apr-2018,,N,29-Apr-2015,04-Apr-2018,,,,,,29-Apr-2015,11-Jul-2018,,,,,N,Newspapers,English,
Petrolia Topic (Online),,Postmedia Network Inc.,Petrolia,Canada,14-May-2015,04-May-2020,01-Jan-2019--31-Dec-2019,N,14-May-2015,04-May-2020,01-Jan-2019--31-Dec-2019,,,,,14-May-2015,04-May-2020,01-Jan-2019--31-Dec-2019,,,,N,"Blogs, Podcasts, & Websites",English,
Pincher Creek Echo,,Postmedia Network Inc.,Pincher Creek,Canada,20-May-2011,22-Feb-2023,,N,20-May-2011,22-Feb-2023,,,,,,20-May-2011,22-Feb-2023,,,,,N,Newspapers,English,
Pincher Creek Echo (Online),,Postmedia Network Inc.,Pincher Creek,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 17-Apr-2021--15-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 17-Apr-2021--15-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 17-Apr-2021--15-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Pipestone Flyer (Online),,Black Press Group Ltd.,Wetaskiwin,Canada,18-Jul-2022,Current,,N,18-Jul-2022,Current,,,,,,18-Jul-2022,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Pipestone Flyer,,Postmedia Network Inc.,"Millet, Alta.",Canada,12-Mar-2009,Current,,N,12-Mar-2009,Current,,,,,1,12-Mar-2009,Current,,,,,N,Newspapers,English,
Ponoka News,,Black Press Group Ltd.,Ponoka,Canada,19-Jun-2013,Current,01-Jan-2017--31-Dec-2018,N,19-Jun-2013,Current,01-Jan-2017--31-Dec-2018,,,,1,19-Jun-2013,Current,01-Jan-2017--31-Dec-2018,,,,N,Newspapers,English,
Ponoka News (Online),,Black Press Group Ltd.,Ponoka,Canada,05-Dec-2020,Current,01-Jan-2021--31-Dec-2021,N,05-Dec-2020,Current,01-Jan-2021--31-Dec-2021,,,,,05-Dec-2020,Current,01-Jan-2021--31-Dec-2021,,,,N,"Blogs, Podcasts, & Websites",English,
Port Colborne Leader,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Port Colborne, Ont.",Canada,09-May-2012,Current,,N,09-May-2012,Current,,,,,,09-May-2012,Current,01-Jan-2017--31-Dec-2017,,,,N,Newspapers,English,
Port Perry Star,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Port Perry, Ont.",Canada,26-Aug-2011,Current,,N,26-Aug-2011,Current,,,,,,26-Aug-2011,Current,,,,,N,Newspapers,English,
The Post,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Burlington, Ont.",Canada,25-Jun-2003,Current,,N,25-Jun-2003,Current,,,,,,25-Jun-2003,Current,,,,,N,Newspapers,English,
Power & Politics,,Canadian Broadcasting Corporation,Toronto,Canada,17-Jan-2014,Current,,N,17-Jan-2014,Current,,,,,,17-Jan-2014,Current,,,,,N,Other Sources,English,
Power Play with Evan Solomon,,"CTV Television, Inc.",Toronto,Canada,12-Jan-2009,Current,,N,12-Jan-2009,Current,,,,,,12-Jan-2009,Current,,,,,N,Other Sources,,
Prairie Post East,,Postmedia Network Inc.,"Swift Current, Sask.",Canada,06-Jan-2017,Current,,N,06-Jan-2017,Current,,,,,1,06-Jan-2017,Current,,,,,N,Newspapers,English,
Prairie Post West,,Postmedia Network Inc.,"Swift Current, Sask.",Canada,06-Jan-2017,25-Nov-2022,,N,06-Jan-2017,25-Nov-2022,,,,,,06-Jan-2017,25-Nov-2022,,,,,N,Newspapers,English,
La Presse Canadienne -- Le Fil Radio,,Canadian Press Enterprises Inc.,Montréal,Canada,30-Apr-2010,06-Oct-2010,,N,30-Apr-2010,06-Oct-2010,,,,,,30-Apr-2010,06-Oct-2010,,,,,N,Wire Feeds,French,
La Presse Canadienne,,Canadian Press Enterprises Inc.,Montréal,Canada,07-May-2010,Current,,N,07-May-2010,Current,,,,,,07-May-2010,Current,,,,,N,Wire Feeds,French,
Prince Albert Daily Herald,,"FolioJumpline Publishing, Inc.","Prince Albert, Sask.",Canada,03-Aug-1999,09-May-2019,01-Jan-2009--31-Dec-2009,N,03-Aug-1999,09-May-2019,01-Jan-2009--31-Dec-2009,,,,,03-Aug-1999,09-May-2019,01-Jan-2009--31-Dec-2009,,,,N,Newspapers,English,
Prince George Citizen,,Postmedia Network Inc.,"Prince George, B.C.",Canada,17-Aug-1999,Current,,N,17-Aug-1999,Current,,,,,1,17-Aug-1999,Current,,,,,N,Newspapers,English,
The Prince George Free Press,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Prince George, B.C.",Canada,,,,N,,,,,,,,01-Aug-2004,15-Oct-2013,,,,,N,Newspapers,English,
Profit,,St. Joseph Communications,Toronto,Canada,01-Oct-1991,01-Dec-2013,,N,01-Oct-1991,01-Dec-2013,,,,,,01-Apr-1982,01-Dec-2013,,,,,N,Magazines,English,
Project Syndicate,,Project Syndicate,Prague,Czech Republic,02-Nov-2015,31-Oct-2018,,N,02-Nov-2015,31-Oct-2018,,,,,,02-Nov-2015,31-Oct-2018,,,,,N,Wire Feeds,English,
The Province (Online),,Postmedia Network Inc.,Vancouver,Canada,30-Nov-2017,Current,,N,30-Nov-2017,Current,,,,,1,30-Nov-2017,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Province,,Postmedia Network Inc.,"Vancouver, B.C.",Canada,20-Mar-1989,Current,,N,20-Mar-1989,Current,,,,,1,20-Mar-1989,Current,01-Jan-2019--31-Dec-2024,,,,N,Newspapers,English,
The Provost News,,Postmedia Network Inc.,"Provost, Alta.",Canada,08-Apr-2009,Current,,N,08-Apr-2009,Current,,,,,1,08-Apr-2009,Current,,,,,N,Newspapers,English,
Quesnel Cariboo Observer,,Black Press Group Ltd.,"Quesnel, B.C.",Canada,01-Aug-2004,04-Apr-2022,,N,01-Aug-2004,04-Apr-2022,,,,,,01-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
Quesnel Cariboo Observer (Online),,Black Press Group Ltd.,Quesnel,Canada,08-Mar-2023,Current,,N,08-Mar-2023,Current,,,,,,08-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Question Period - CTV Television,,"CTV Television, Inc.",Scarborough,Canada,02-Jan-1994,Current,15-Jun-1997--09-Sep-2001; 29-Dec-2002--12-Sep-2004,N,02-Jan-1994,Current,15-Jun-1997--09-Sep-2001; 29-Dec-2002--12-Sep-2004,,,,,02-Jan-1994,Current,15-Jun-1997--09-Sep-2001; 29-Dec-2002--12-Sep-2004,,,,N,Newspapers,English,
Quinte EMC,,Postmedia Network Inc.,"Quinte West, Ont.",Canada,03-Apr-2009,23-Nov-2017,,N,03-Apr-2009,23-Nov-2017,,,,,,03-Apr-2009,23-Nov-2017,,,,,N,Newspapers,English,
RFI,English ed.,"Disco Digital Media, Inc.",Paris,United States,02-Jun-2010,02-Feb-2025,,N,02-Jun-2010,02-Feb-2025,,,,,,02-Jun-2010,02-Feb-2025,,,,,N,Other Sources,English,
RadioJournal,,Canadian Broadcasting Corporation,Montreal,Canada,24-Jun-2013,Current,01-Jan-2017--31-Dec-2021,N,24-Jun-2013,Current,01-Jan-2017--31-Dec-2021,,,,,24-Jun-2013,Current,01-Jan-2017--31-Dec-2021,,,,N,Other Sources,French,
RadioJournal Weekend,,Canadian Broadcasting Corporation,Montreal,Canada,29-Jun-2013,30-Oct-2016,,N,29-Jun-2013,30-Oct-2016,,,,,,29-Jun-2013,30-Oct-2016,,,,,N,Other Sources,French,
Record,,Postmedia Network Inc.,"Sherbrooke, Que.",Canada,29-Nov-1999,Current,,N,29-Nov-1999,Current,,,,,1,29-Nov-1999,Current,,,,,N,Newspapers,English,
The Record,,Postmedia Network Inc.,"New Westminster, B.C.",Canada,16-Oct-2002,10-Aug-2023,,N,16-Oct-2002,10-Aug-2023,,,,,,16-Oct-2002,10-Aug-2023,,,,,N,Newspapers,English,
Record-Gazette,,Postmedia Network Inc.,Peace River,Canada,18-May-2011,23-Aug-2023,,N,18-May-2011,23-Aug-2023,,,,,,18-May-2011,23-Aug-2023,,,,,N,Newspapers,English,
Record-Gazette (Online),,Postmedia Network Inc.,Peace River,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 13-Apr-2021--20-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 13-Apr-2021--20-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 13-Apr-2021--20-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Recorder and Times (Online),,Postmedia Network Inc.,Brockville,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 18-Apr-2021--27-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 18-Apr-2021--27-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 18-Apr-2021--27-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",,
The Recorder and Times,,Postmedia Network Inc.,Brockville,Canada,23-Apr-2007,Current,,N,23-Apr-2007,Current,,,,,1,23-Apr-2007,Current,,,,,N,Newspapers,English,
Red Deer Express,,Alberta Weekly Newspapers Association,Red Deer,Canada,19-Jun-2013,08-Jun-2016,,N,19-Jun-2013,08-Jun-2016,,,,,,19-Jun-2013,08-Jun-2016,,,,,N,Newspapers,English,
Red River Valley Echo,,Postmedia Network Inc.,Altona,Canada,01-Dec-2011,07-May-2020,,N,01-Dec-2011,07-May-2020,,,,,,01-Dec-2011,07-May-2020,,,,,N,Newspapers,English,
Redwater Review,,Alberta Weekly Newspapers Association,Redwater,Canada,18-Jun-2013,28-Jun-2016,,N,18-Jun-2013,28-Jun-2016,,,,,,18-Jun-2013,28-Jun-2016,,,,,N,Newspapers,English,
The Renfrew Mercury Weekender,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Renfrew, Ont.",Canada,30-Nov-2016,07-Dec-2016,,N,30-Nov-2016,07-Dec-2016,,,,,,30-Nov-2016,07-Dec-2016,,,,,N,Newspapers,English,
The Renfrew Mercury,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Renfrew, Ont.",Canada,21-Sep-2011,Current,,N,21-Sep-2011,Current,,,,,,21-Sep-2011,Current,,,,,N,Newspapers,English,
Revelstoke Review (Online),,Black Press Group Ltd.,Revelstoke,Canada,14-Mar-2023,Current,,N,14-Mar-2023,Current,,,,,,14-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Revelstoke Times Review,,Black Press Group Ltd.,"Revelstoke, B.C.",Canada,04-Aug-2004,04-Apr-2022,,N,04-Aug-2004,04-Apr-2022,,,,,,04-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
The Review (Online),,Black Press Group Ltd.,Keremeos,Canada,15-Mar-2023,Current,,N,15-Mar-2023,Current,,,,,,15-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Review,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Richmond, B.C.",Canada,03-Aug-2004,12-May-2015,,N,03-Aug-2004,12-May-2015,,,,,,03-Aug-2004,12-May-2015,,,,,N,Newspapers,English,
Richmond News,,Postmedia Network Inc.,"Richmond, B.C.",Canada,10-Apr-2002,Current,,N,10-Apr-2002,Current,,,,,1,10-Apr-2002,Current,,,,,N,Newspapers,English,
Rimbey Review,,Postmedia Network Inc.,Rimbey,Canada,18-Jun-2013,Current,01-Jan-2017--31-Dec-2018,N,18-Jun-2013,Current,01-Jan-2017--31-Dec-2018,,,,1,18-Jun-2013,Current,01-Jan-2017--31-Dec-2018,,,,N,Newspapers,English,
Rimbey Review (Online),,Black Press Group Ltd.,Rimbey,Canada,14-Mar-2023,Current,,N,14-Mar-2023,Current,,,,,,14-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Rocky Mountain Outlook,,Postmedia Network Inc.,"Canmore, Alta.",Canada,26-Mar-2009,12-Dec-2019,,N,26-Mar-2009,12-Dec-2019,,,,,,26-Mar-2009,12-Dec-2019,,,,,N,Newspapers,English,
Rossland News (Online),,Black Press Group Ltd.,Rossland,Canada,14-Mar-2023,Current,,N,14-Mar-2023,Current,,,,,,14-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Saanich News,,Black Press Group Ltd.,"Victoria, B.C.",Canada,04-Aug-2004,04-Apr-2022,,N,04-Aug-2004,04-Apr-2022,,,,,,04-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
Saanich News (Online),,Black Press Group Ltd.,Victoria,Canada,14-Mar-2023,Current,,N,14-Mar-2023,Current,,,,,,14-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Sachem / Glanbrook Gazette,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Caledonia, Ont.",Canada,02-Jun-2010,Current,,N,02-Jun-2010,Current,,,,,,02-Jun-2010,Current,,,,,N,Newspapers,English,
Saint City News,,Postmedia Network Inc.,"Saint Albert, Alta.",Canada,03-Apr-2009,10-Jun-2011,,N,03-Apr-2009,10-Jun-2011,,,,,,03-Apr-2009,24-Jun-2011,,,,,N,Newspapers,English,
Salmon Arm Observer,,Black Press Group Ltd.,"Salmon Arm, B.C.",Canada,04-Aug-2004,04-Apr-2022,,N,04-Aug-2004,04-Apr-2022,,,,,,04-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
Salmon Arm Observer (Online),,Black Press Group Ltd.,Salmon Arm,Canada,16-Feb-2023,Current,,N,16-Feb-2023,Current,,,,,,16-Feb-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Sarnia Observer (Online),,Postmedia Network Inc.,Sarnia,Canada,15-May-2015,Current,26-Sep-2021--27-Mar-2022,N,15-May-2015,Current,26-Sep-2021--27-Mar-2022,,,,1,15-May-2015,Current,26-Sep-2021--27-Mar-2022,,,,N,Newspapers,,
Sarnia This Week,,Postmedia Network Inc.,Sarnia,Canada,10-Feb-2022,Current,,N,10-Feb-2022,Current,,,,,1,10-Feb-2022,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Saskbusiness,,Sunrise Publishing Ltd.,Saskatoon,Canada,01-Jan-1997,01-Apr-2011,,N,01-Jan-1997,01-Jun-2006,,01-Jun-2002,01-Apr-2011,,,01-Jan-1982,01-Jul-2011,01-Jan-1993--31-Dec-1993,,,,N,Trade Journals,English,
Saturday Report - CBC Television,,Canadian Broadcasting Corporation,Toronto,Canada,05-Feb-1994,29-Aug-2009,,N,05-Feb-1994,29-Aug-2009,,,,,,05-Feb-1994,29-Aug-2009,,,,,N,Other Sources,English,
Sault Star,,Postmedia Network Inc.,"Sault Ste. Marie, Ont.",Canada,02-Jan-1997,Current,,N,02-Jan-1997,Current,,,,,1,02-Jan-1997,Current,,,,,N,Newspapers,English,
The Sault Star (Online),,Postmedia Network Inc.,Sault Ste. Marie,Canada,15-May-2015,Current,19-Apr-2021--28-Mar-2022,N,15-May-2015,Current,19-Apr-2021--28-Mar-2022,,,,1,15-May-2015,Current,19-Apr-2021--28-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
Sault This Week,,Postmedia Network Inc.,Toronto,Canada,10-Feb-2022,Current,,N,10-Feb-2022,Current,,,,,1,10-Feb-2022,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Scarborough Mirror,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Scarborough, Ont.",Canada,27-Apr-2003,28-Dec-2023,,N,27-Apr-2003,28-Dec-2023,,,,,,27-Apr-2003,28-Dec-2023,,,,,N,Newspapers,English,
Scope Newspaper,,Alberta Weekly Newspapers Association,"Slave Lake, Alta.",Canada,28-Mar-2009,19-Dec-2015,,N,28-Mar-2009,19-Dec-2015,,,,,,28-Mar-2009,19-Dec-2015,,,,,N,Newspapers,English,
Seaforth Huron Expositor,,Postmedia Network Inc.,Seaforth,Canada,18-May-2011,Current,,N,18-May-2011,Current,,,,,1,18-May-2011,Current,,,,,N,Newspapers,English,
Seaforth Huron Expositor (Online),,Postmedia Network Inc.,Seaforth,Canada,14-May-2015,Current,08-Apr-2021--08-Feb-2022,N,14-May-2015,Current,08-Apr-2021--08-Feb-2022,,,,1,14-May-2015,Current,08-Apr-2021--08-Feb-2022,,,,N,"Blogs, Podcasts, & Websites",English,
Selkirk Journal,,Postmedia Network Inc.,Selkirk,Canada,27-Apr-2007,07-May-2020,,N,27-Apr-2007,07-May-2020,,,,,,27-Apr-2007,07-May-2020,,,,,N,Newspapers,English,
The Shaunavon Standard,,Postmedia Network Inc.,"Shaunavon, Sask.",Canada,04-Jan-2017,Current,,N,04-Jan-2017,Current,,,,,1,04-Jan-2017,Current,,,,,N,Newspapers,English,
Sherwood Park News,,Postmedia Network Inc.,Sherwood Park,Canada,25-Apr-2007,Current,,N,25-Apr-2007,Current,,,,,1,25-Apr-2007,Current,,,,,N,Newspapers,English,
Sherwood Park News (Online),,Postmedia Network Inc.,Sherwood Park,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--28-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--28-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--28-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
Shoreline Beacon,,Postmedia Network Inc.,Port Elgin,Canada,25-Apr-2007,Current,,N,25-Apr-2007,Current,,,,,1,25-Apr-2007,Current,,,,,N,Newspapers,English,
Shoreline Beacon (Online),,Postmedia Network Inc.,Port Elgin,Canada,14-May-2015,Current,24-Sep-2021--27-Mar-2022,N,14-May-2015,Current,24-Sep-2021--27-Mar-2022,,,,1,14-May-2015,Current,24-Sep-2021--27-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
Shuswap Market News (Online),,Black Press Group Ltd.,Salmon Arm,Canada,17-Mar-2023,Current,,N,17-Mar-2023,Current,,,,,,17-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Signal,,Postmedia Network Inc.,"Rycroft, Alta.",Canada,07-Apr-2009,Current,,N,07-Apr-2009,Current,,,,,1,07-Apr-2009,Current,,,,,N,Newspapers,English,
The Simcoe Reformer (Online),,Postmedia Network Inc.,Simcoe,Canada,14-May-2015,Current,18-Apr-2021--27-Mar-2022,N,14-May-2015,Current,18-Apr-2021--27-Mar-2022,,,,1,14-May-2015,Current,18-Apr-2021--27-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Simcoe Reformer,,Postmedia Network Inc.,Calgary,Canada,30-Apr-2007,Current,,N,30-Apr-2007,Current,,,,,1,30-Apr-2007,Current,,,,,N,Newspapers,English,
Similkameen Spotlight,,Black Press Group Ltd.,"Princeton, B.C.",Canada,13-Aug-2004,31-Mar-2022,,N,13-Aug-2004,31-Mar-2022,,,,,,13-Aug-2004,31-Mar-2022,,,,,N,Newspapers,English,
Similkameen Spotlight (Online),,Black Press Group Ltd.,Princeton,Canada,05-Jan-2023,Current,,N,05-Jan-2023,Current,,,,,,05-Jan-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Smiths Falls EMC,,Postmedia Network Inc.,"Smith Falls, Ont.",Canada,02-Apr-2009,08-Feb-2018,,N,02-Apr-2009,08-Feb-2018,,,,,,02-Apr-2009,08-Feb-2018,,,,,N,Newspapers,English,
Smiths Falls Record News,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Smiths Falls,Canada,24-Oct-2023,Current,,N,24-Oct-2023,Current,,,,,,20-Sep-2018,Current,,,,,N,Newspapers,English,
Smoky Lake Signal,,Postmedia Network Inc.,"Smoky Lake, Alta.",Canada,01-Apr-2009,19-Dec-2019,,N,01-Apr-2009,19-Dec-2019,,,,,,01-Apr-2009,19-Dec-2019,,,,,N,Newspapers,English,
Smoky River Express,,Postmedia Network Inc.,"Falher, Alta.",Canada,08-Apr-2009,15-Dec-2020,,N,08-Apr-2009,15-Dec-2020,,,,,,08-Apr-2009,10-Aug-2021,,,,,N,Newspapers,English,
The Sooke Mirror,,Black Press Group Ltd.,"Sooke, B.C.",Canada,04-Aug-2004,04-Apr-2022,,N,04-Aug-2004,04-Apr-2022,,,,,,04-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
Sooke News Mirror (Online),,Black Press Group Ltd.,Sooke,Canada,15-Mar-2023,Current,,N,15-Mar-2023,Current,,,,,,15-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
South Asian Focus,,CNW Group Ltd.,"Brampton, Ont.",Canada,22-Jan-2010,28-Jun-2018,01-Jan-2017--31-Dec-2017,N,22-Jan-2010,28-Jun-2018,01-Jan-2017--31-Dec-2017,,,,,22-Jan-2010,28-Jun-2018,01-Jan-2017--31-Dec-2017,,,,N,Newspapers,English,
South Delta Leader,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Delta, B.C.",Canada,,,,N,,,,,,,,06-Aug-2004,12-Mar-2015,,,,,N,Newspapers,English,
The South Peace News,,Postmedia Network Inc.,"High Prairie, Alta.",Canada,01-Apr-2009,Current,,N,01-Apr-2009,Current,,,,,1,01-Apr-2009,Current,,,,,N,Newspapers,English,
